Entity.ID,Entity.Name,Region
4876783,LBS Landesbausparkasse NordOst AG,Berlin
4245472,LBS Landesbausparkasse NordWest,Niedersachsen
4399809,LBS Landesbausparkasse Rheinland-Pfalz,Rheinland-Pfalz
4403782,LBS Landesbausparkasse Saar,Saarland
4245470,LBS Landesbausparkasse Süd,Niedersachsen
4576163,Leipziger Volksbank eG,Sachsen
4395429,Märkische Bank eG,Nordrhein-Westfalen
4393859,meine Volksbank Raiffeisenbank eG,Bayern
4243639,Mittelbrandenburgische Sparkasse in Potsdam,Brandenburg
4567196,MMV Bank GmbH,Rheinland-Pfalz
4548678,Müritz-Sparkasse,Mecklenburg-Vorpommern
4219627,Nassauische Sparkasse,Rheinland-Pfalz
4395385,Netbank AG,Hamburg
4431427,Niederrheinische Sparkasse RheinLippe,Nordrhein-Westfalen
4386861,Nord-Ostsee Sparkasse,Schleswig-Holstein
4145342,Norddeutsche Landesbank Girozentrale,Niedersachsen
4618548,Norderstedter Bank eG,Schleswig-Holstein
4403858,Oldenburger Volksbank eG,Niedersachsen
4577047,Onstmettinger Bank eG,Baden-Württemberg
4258527,Ostsächsische Sparkasse Dresden,Sachsen
4394413,OstseeSparkasse Rostock,Mecklenburg-Vorpommern
4401207,OYAK ANKER Bank GmbH,Hessen
4397725,Pax-Bank für Kirche und Caritas eG,Nordrhein-Westfalen
4403859,Pommersche Volksbank eG,Niedersachsen
4394958,PSD Bank Berlin-Brandenburg eG,Berlin
4401039,PSD Bank Braunschweig eG,Niedersachsen
4396307,PSD Bank Hannover eG,Niedersachsen
4394764,PSD Bank Hessen-Thüringen eG,Thüringen
4402531,PSD Bank Karlsruhe-Neustadt eG,Rheinland-Pfalz
4394805,PSD Bank München eG,Bayern
4403322,PSD Bank RheinNeckarSaar eG,Saarland
4427509,Raiffeisen - meine Bank eG,Bayern
4578811,Raiffeisen - Volksbank Hermsdorfer Kreuz eG,Niedersachsen
